Date,Country,Competition,HomeTeam,AwayTeam,FT_HomeScore,FT_AwayScore,HT_HomeScore,HT_AwayScore,FT_HomeOdds,FT_DrawOdds,FT_AwayOdds,1H_HomeOdds,1H_DrawOdds,1H_AwayOdds,2H_HomeOdds,2H_DrawOdds,2H_AwayOdds,OU05_Over,OU05_Under,OU15_Over,OU15_Under,OU25_Over,OU25_Under,OU35_Over,OU35_Under,OU45_Over,OU45_Under,BTTS_Yes,BTTS_No,BTTS_1H_Yes,BTTS_1H_No,BTTS_2H_Yes,BTTS_2H_No,DNB_Home,DNB_Away,DC_1X,DC_12,DC_2X,URL
04/11/2012,Italy,Serie A,Pescara,Parma,2,0,0,0,3.4,3.2,2.2,3.6,2.1,2.88,3.4,2.4,2.5,1.06,10.0,1.34,3.4,2.1,1.75,3.9,1.29,7.0,1.1,,,,,,,2.38,1.53,1.62,1.33,1.29,https://www.oddsportal.com/football/italy/serie-a-2012-2013/pescara-parma-65w1h4NN/
04/11/2012,Italy,Serie A,Juventus,Inter,1,3,1,0,1.57,4.0,5.5,2.04,2.38,6.0,1.91,2.63,4.75,1.04,13.0,1.22,4.0,1.8,2.04,3.0,1.4,5.5,1.13,,,,,,,1.2,4.33,1.12,1.22,2.25,https://www.oddsportal.com/football/italy/serie-a-2012-2013/juventus-inter-Klyke6w5/
04/11/2013,Italy,Serie A,Verona,Cagliari,2,1,1,0,2.2,3.25,3.3,2.88,2.25,3.6,2.5,2.4,3.25,1.06,11.0,1.29,3.7,2.0,1.9,3.4,1.32,7.0,1.12,1.73,2.0,,,,,1.53,2.38,1.35,1.36,1.7,https://www.oddsportal.com/football/italy/serie-a-2013-2014/verona-cagliari-GfeolUb3/
04/11/2013,Italy,Serie A,Torino,AS Roma,1,1,0,1,4.0,3.3,1.95,4.0,2.25,2.6,3.6,2.5,2.25,1.06,11.0,1.27,3.75,1.92,1.95,3.33,1.33,6.75,1.13,1.73,2.0,,,,,2.75,1.4,1.85,1.35,1.25,https://www.oddsportal.com/football/italy/serie-a-2013-2014/torino-as-roma-dESxvpyd/
04/11/2013,Italy,Serie A,Lazio,Genoa,0,2,0,0,1.62,3.75,5.5,2.3,2.1,5.5,2.05,2.4,4.5,1.06,10.0,1.36,3.45,2.1,1.78,3.9,1.28,8.0,1.1,2.0,1.73,,,,,1.29,3.5,1.17,1.29,2.3,https://www.oddsportal.com/football/italy/serie-a-2013-2014/lazio-genoa-bJpjmlE9/
04/11/2013,Italy,Serie A,Udinese,Inter,0,3,0,2,2.5,3.3,2.75,3.1,2.2,3.25,2.63,2.5,3.0,1.05,11.0,1.28,3.75,1.96,1.95,3.5,1.36,6.5,1.13,1.67,2.1,,,,,1.73,2.0,1.45,1.35,1.55,https://www.oddsportal.com/football/italy/serie-a-2013-2014/udinese-inter-z5Rtw4j2/
04/11/2013,Italy,Serie A,Sampdoria,Sassuolo,3,4,1,0,2.0,3.2,4.0,2.75,2.05,4.33,2.3,2.38,4.0,1.08,9.0,1.36,3.25,2.2,1.73,4.0,1.26,9.0,1.08,1.83,1.83,,,,,1.4,2.75,1.25,1.38,1.83,https://www.oddsportal.com/football/italy/serie-a-2013-2014/sampdoria-sassuolo-2iTYvQLk/
04/11/2014,Italy,Serie A,Lazio,Cagliari,4,2,3,0,1.62,4.0,5.0,2.2,2.4,4.75,2.0,2.63,4.0,1.04,13.0,1.55,2.56,2.54,1.53,2.82,1.43,5.5,1.17,1.73,2.0,,,,,1.3,3.4,1.18,1.25,2.3,https://www.oddsportal.com/football/italy/serie-a-2014-2015/lazio-cagliari-02VAgmpT/
04/11/2014,Italy,Serie A,Cesena,Verona,1,1,1,0,3.1,3.2,2.3,3.6,2.05,3.2,3.2,2.3,2.75,1.08,10.0,2.68,1.51,2.34,1.73,4.25,1.23,9.0,1.07,1.91,1.8,,,,,2.1,1.67,1.62,1.38,1.4,https://www.oddsportal.com/football/italy/serie-a-2014-2015/cesena-verona-Qqwbdk0A/
04/11/2018,Italy,Serie A,Fiorentina,AS Roma,1,1,1,0,2.7,3.4,2.6,3.1,2.25,3.1,2.75,2.6,2.75,1.04,14.0,1.22,4.84,1.66,2.37,2.75,1.56,5.1,1.22,1.57,2.25,3.4,1.29,2.54,1.48,,,,,,https://www.oddsportal.com/football/italy/serie-a-2018-2019/fiorentina-as-roma-rsBrDH3t/
04/11/2018,Italy,Serie A,Inter,Genoa,5,0,2,0,1.36,4.75,9.0,1.9,2.4,7.0,1.61,2.87,7.0,1.04,14.0,1.24,4.4,1.8,2.26,2.9,1.45,5.7,1.19,1.95,1.8,4.6,1.2,3.4,1.29,1.11,6.5,1.07,1.2,3.2,https://www.oddsportal.com/football/italy/serie-a-2018-2019/inter-genoa-CGFnCyJn/
04/11/2018,Italy,Serie A,Juventus,Cagliari,3,1,2,1,1.14,8.0,19.0,1.53,3.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,https://www.oddsportal.com/football/italy/serie-a-2018-2019/juventus-cagliari-j7EjBeYh/
04/11/2018,Italy,Serie A,Lazio,Spal,4,1,2,1,1.36,5.0,8.5,1.83,2.5,7.0,1.61,2.87,7.0,1.04,15.0,1.26,4.5,1.82,2.16,2.86,1.45,5.4,1.17,2.0,1.75,,,5.5,1.15,3.72,1.25,1.08,1.18,3.2,https://www.oddsportal.com/football/italy/serie-a-2018-2019/lazio-spal-YV3eAFma/
04/11/2019,Italy,Serie A,Fiorentina,Parma,1,1,0,1,1.57,4.2,5.5,2.2,2.3,5.5,1.83,2.62,4.75,1.05,12.5,1.25,4.3,1.8,2.16,3.05,1.45,5.85,1.16,1.8,1.95,4.6,1.17,3.35,1.27,1.22,4.0,1.14,1.22,2.25,https://www.oddsportal.com/football/italy/serie-a-2019-2020/fiorentina-parma-GfaljyQ0/
04/11/2019,Italy,Serie A,Verona,Brescia,2,1,0,0,2.1,3.3,3.75,2.87,2.1,4.0,2.5,2.37,3.5,1.07,10.15,3.0,1.5,2.12,1.92,3.85,1.33,8.0,1.11,1.9,1.9,5.1,1.15,3.65,1.24,1.5,2.5,1.25,1.33,1.66,https://www.oddsportal.com/football/italy/serie-a-2019-2020/verona-brescia-M7UllFfD/
04/11/2019,Italy,Serie A,Lecce,Sassuolo,2,2,2,1,2.8,3.4,2.45,3.25,2.3,3.0,2.87,2.6,2.62,1.04,13.5,1.24,4.6,1.78,2.23,2.92,1.49,5.3,1.18,1.57,2.25,4.0,1.22,2.88,1.36,2.0,1.72,1.53,1.3,1.4,https://www.oddsportal.com/football/italy/serie-a-2019-2020/lecce-sassuolo-zBIWCbXD/
